,link,revenue,num_employee
0,http://www.savagepress.com/,$1 - 4.9 Mil,10-49
1,http://catalog.centralmachines.com,$5 - 9.9 Mil,10-49
2,https://www.quadrantplastics.com/na-en/home.html,$250 Mil. and over,500-999
