,Unnamed: 0,name,link,revenue,num_employee
0,0,"Industrial Plastic Supply, Inc.",https://iplasticsupply.com/,$5 - 9.9 Mil,10-49
1,1,"New Process Fibre Company, Inc.",https://www.newprocess.com/,$5 - 9.9 Mil,50-99
2,2,"Applied Plastics Co., Inc.",http://appliedplastics.com/,$1 - 4.9 Mil,10-49
